title,shopLink,createdTime,reviewsLink,reviewsQuantity,priceFormatted,hasVariants,mods,id,currency,creditMonthlyPrice,brand,stock,loanAvailable,discount,unitSalePrice,rating,adjustedRating,categoryId,price,color,full_name
HP Pavilion 14-dv2003ci 6G7W1EA серебристый,https://kaspi.kz/shop/p/hp-pavilion-14-dv2003ci-6g7w1ea-serebristyi-107847324/?c=750000000,2022-12-02T08:50:31.330Z,https://kaspi.kz/shop/p/hp-pavilion-14-dv2003ci-6g7w1ea-serebristyi-107847324/?c=750000000&tab=reviews,,402 990 ₸,False,,107847324,KZT,25496.0,HP,1,True,0,402990.0,0.0,0,00588,402990.0,серебристый,HP Pavilion 14-dv2003ci 6G7W1EA
Lenovo Legion 5 82RD00ACRK серый,https://kaspi.kz/shop/p/lenovo-legion-5-82rd00acrk-seryi-108345291/?c=750000000,2023-01-05T12:04:11.850Z,https://kaspi.kz/shop/p/lenovo-legion-5-82rd00acrk-seryi-108345291/?c=750000000&tab=reviews,,929 990 ₸,False,,108345291,KZT,58838.0,Lenovo,1,True,0,929990.0,0.0,0,00588,929990.0,серый,Lenovo Legion 5 82RD00ACRK
Acer Aspire 3 A315-59 NX.K6TER.003 серебристый,https://kaspi.kz/shop/p/acer-aspire-3-a315-59-nx-k6ter-003-serebristyi-108194190/?c=750000000,2022-12-22T06:34:22.762Z,https://kaspi.kz/shop/p/acer-aspire-3-a315-59-nx-k6ter-003-serebristyi-108194190/?c=750000000&tab=reviews,,349 990 ₸,False,,108194190,KZT,22143.0,Acer,1,True,0,349990.0,0.0,0,00588,349990.0,серебристый,Acer Aspire 3 A315-59 NX.K6TER.003
Acer Aspire A315-56-30HC NX.HS5ER.017 черный,https://kaspi.kz/shop/p/acer-aspire-a315-56-30hc-nx-hs5er-017-chernyi-103346427/?c=750000000,2021-12-28T08:23:50.776Z,https://kaspi.kz/shop/p/acer-aspire-a315-56-30hc-nx-hs5er-017-chernyi-103346427/?c=750000000&tab=reviews,1.0,285 990 ₸,False,,103346427,KZT,18094.0,Acer,1,True,0,285990.0,5.0,10,00588,285990.0,черный,Acer Aspire A315-56-30HC NX.HS5ER.017
Lenovo ThinkPad E14 Gen 4 21E3005GRT черный,https://kaspi.kz/shop/p/lenovo-thinkpad-e14-gen-4-21e3005grt-chernyi-108519737/?c=750000000,2023-01-18T15:35:46.953Z,https://kaspi.kz/shop/p/lenovo-thinkpad-e14-gen-4-21e3005grt-chernyi-108519737/?c=750000000&tab=reviews,,686 664 ₸,False,,108519737,KZT,43443.0,Lenovo,1,True,0,686664.0,0.0,0,00588,686664.0,черный,Lenovo ThinkPad E14 Gen 4 21E3005GRT
Lenovo ThinkBook 15 Gen 2 ITL 20VE0007RU серый,https://kaspi.kz/shop/p/lenovo-thinkbook-15-gen-2-itl-20ve0007ru-seryi-101212174/?c=750000000,2021-03-26T06:17:48.395Z,https://kaspi.kz/shop/p/lenovo-thinkbook-15-gen-2-itl-20ve0007ru-seryi-101212174/?c=750000000&tab=reviews,1.0,361 927 ₸,False,,101212174,KZT,22898.0,Lenovo,1,True,0,361927.0,5.0,10,00588,361927.0,серый,Lenovo ThinkBook 15 Gen 2 ITL 20VE0007RU
ASUS ExpertBook B9400CEA-KC0344R 90NX0SX1-M04060 синий,https://kaspi.kz/shop/p/asus-expertbook-b9400cea-kc0344r-90nx0sx1-m04060-sinii-101702968/?c=750000000,2021-06-22T10:29:25.893Z,https://kaspi.kz/shop/p/asus-expertbook-b9400cea-kc0344r-90nx0sx1-m04060-sinii-101702968/?c=750000000&tab=reviews,2.0,764 677 ₸,False,,101702968,KZT,48379.0,ASUS,1,True,0,764677.0,5.0,10,00588,764677.0,синий,ASUS ExpertBook B9400CEA-KC0344R 90NX0SX1-M04060
HP 15s-fq2038ur 321H6EA серебристый,https://kaspi.kz/shop/p/hp-15s-fq2038ur-321h6ea-serebristyi-101009173/?c=750000000,2021-02-03T04:07:06.775Z,https://kaspi.kz/shop/p/hp-15s-fq2038ur-321h6ea-serebristyi-101009173/?c=750000000&tab=reviews,14.0,419 980 ₸,False,,101009173,KZT,26571.0,HP,1,True,0,419980.0,5.0,10,00588,419980.0,серебристый,HP 15s-fq2038ur 321H6EA
HP EliteBook 850 G8 5P5U8EA серебристый,https://kaspi.kz/shop/p/hp-elitebook-850-g8-5p5u8ea-serebristyi-108098916/?c=750000000,2022-12-14T14:29:40.876Z,https://kaspi.kz/shop/p/hp-elitebook-850-g8-5p5u8ea-serebristyi-108098916/?c=750000000&tab=reviews,,681 665 ₸,False,,108098916,KZT,43127.0,HP,1,True,0,681665.0,0.0,0,00588,681665.0,серебристый,HP EliteBook 850 G8 5P5U8EA
ASUS X515EA X515EA-BQ1186W серый,https://kaspi.kz/shop/p/asus-x515ea-x515ea-bq1186w-seryi-105331889/?c=750000000,2022-06-27T06:50:04.341Z,https://kaspi.kz/shop/p/asus-x515ea-x515ea-bq1186w-seryi-105331889/?c=750000000&tab=reviews,0.0,478 421 ₸,False,,105331889,KZT,30269.0,ASUS,1,True,0,478421.0,0.0,0,00588,478421.0,серый,ASUS X515EA X515EA-BQ1186W
