brand,color,full_name,price,rating
ASUS,синий,ASUS VivoBook F413JA-EK603 90NB0RCA-M08750,309940,
Lenovo,серый,Lenovo IdeaPad 3 15ITL6 82H802ECRK,421090,3
Acer,черный,Acer A515-55G NX.HZAER.001,414000,34
Apple,серый,Apple MacBook Pro 16 MVVJ2,1454971,6
Apple,золотистый,Apple MacBook Air 13 MGNE3,743990,27
Asus,серый,Asus X409FA-EB673T,448400,13
Lenovo,серый,Lenovo IdeaPad 3 15IGL05 81WQ00ETRK,255900,8
Lenovo,серый,Lenovo IdeaPad 3 15ITL6 82H800LARK,309944,11
Lenovo,серый,Lenovo Ideapad 3 81WE005YRK,249900,16
Apple,серебристый,Apple MacBook Air 13 MGNA3,725210,17
Lenovo,серый,Lenovo IdeaPad 3 14ALC6 82KT002SRK,258990,1
Lenovo,серый,Lenovo IdeaPad L3 I341TUW 82HL005WRK,209040,2
Lenovo,серый,Lenovo Ideapad 3 15ALC6 82KU00C6RK,379990,28
Apple,серебристый,Apple MacBook Pro 16 Z14W00079,2200000,
HP,серебристый,HP 250 G8 3V5L7EA,287516,
ASUS,серый,ASUS Vivobook S 14 OLED i5 12500H K3402ZA-KM125W,538575,
Lenovo,серебристый,Lenovo IdeaPad L3 15ITL6 82HL002MRK,369487,
Apple,серый,Apple MacBook Pro 16 MK1F3,1428000,7
Acer,серебристый,Acer Aspire 3 A315-35-P5TY NX.A6LER.00V,221000,15
HP,серебристый,HP 17-cn0045ur 444X1EA,279990,
Acer,серебристый,Acer Swift 1 SF114-33 NX.HYUER.001,199990,4
ASUS,серый,ASUS X515EA-EJ905W 90NB0TY1-M015V0,264700,1
Lenovo,черный,Lenovo V15 G2 ALC 82KD002FRU,309800,
ASUS,серебристый,ASUS F515JA-BQ2726W 90NB0SR2-M00F10,259980,
Lenovo,черный,Lenovo V14-G1 IML 82NA0026RU,246921,
DELL,черный,DELL Vostro 3515 210-BBHJ-UBU-A1,280990,2
ASUS,синий,ASUS K3500PA-L1336W 90NB0UU2-M004B0,449670,
ASUS,серый,ASUS D515DA-BQ1121 90NB0T41-M18550,299990,20
Lenovo,черный,Lenovo IdeaPad Gaming 3 82K201RWRK,479990,5
ASUS,синий,ASUS B5302F 90NX03R1-M007D0,563481,
HP,серебристый,HP 15s-fq2050ur 3C7A6EA,365730,14
Lenovo,черный,Lenovo V15 G3 IAP 82TT001KRU,389990,
Lenovo,серый,Lenovo ThinkBook 14 G4 IAP 21DH001ARU,529990,
Mediacom,черный,Mediacom Trigono V401 MG133-JP,127970,1
Lenovo,черный,Lenovo V15 G2 ALC 82KD002SRU,329990,13
MSI,черный,MSI GF63 Thin 11UC-1027XKZ,537990,1
ASUS,черный,ASUS TUF Dash F15 FX517ZR-HN014,1198090,
ASUS,черный,ASUS Vivobook Pro16x OLED M7600QE-L2040 90NB0V71-M01460,727990,3
ASUS,серебристый,ASUS VivoBook R565JA-BR594T P41SUW,339800,1
ASUS,серый,ASUS ZenBook UX425EA-KI846WS 90NB0SM1-M007,479990,10
ASUS,серебристый,ASUS VivoBook R565JA-BR594T P41SUW,339800,1
ASUS,серый,ASUS ZenBook UX425EA-KI846WS 90NB0SM1-M007,479990,10
Lenovo,серый,Lenovo ThinkBook 15 G2 ITL 20VE0094RU,339300,1
